,Feature,h1_gain,h2_gain,h3_gain,h4_gain,h5_gain,h6_gain,h7_gain,agg_gain,total_gain
82,env_weather_pressure_msl_mean_futcov_lag6,619.1059774076566,645.8281772136688,533.0422408658778,772.3216878753155,843.0693235397339,176.8741955757141,256.1920976229012,549.4905285858383,4395.924228686707
83,ewm_ewma14_act_drone_infra_ua_energy_intent_pastcov_lag-1,483.0812176465988,278.4490786790848,594.4354354739189,742.7109409570694,546.39772605896,612.9564933180809,586.4605906158686,549.213068964226,4393.704551713808
84,env_weather_pressure_msl_max_futcov_lag-2,571.2561791539192,572.4855060577393,599.8364226818085,274.35375916957855,633.1651419680566,550.1659458577633,618.1920524835587,545.636429624632,4365.091436997056
85,env_weather_pressure_msl_max_futcov_lag6,348.9624451547861,663.9042081832886,489.96282874350436,454.5224275223818,1071.4304866382663,180.52631855010986,601.7107936283574,544.4313583458135,4355.450866766508
86,env_weather_wind_speed_10m_mean_futcov_lag-1,551.1401433944702,584.2674330472946,550.4960099458694,419.15514025092125,627.9780841855682,490.48393630981445,580.8586231172085,543.4827671787352,4347.862137429882
87,env_weather_wind_gusts_10m_max_futcov_lag-1,479.3293025325984,654.7303577661514,552.5739666223526,678.1713326275349,393.2452006340027,441.9047108888626,581.3082669973373,540.1804482955486,4321.4435863643885
88,env_weather_cloud_cover_mean_futcov_lag0,457.5629520606599,522.2464954592288,1057.6792101953179,357.00101263448596,355.6640317440033,687.4601651938865,320.9500522892922,536.9377027966964,4295.501622373571
89,env_weather_sunshine_duration_futcov_lag0,479.75240246392787,325.4803009442985,396.3947410583496,875.7925100326538,583.7968089208007,375.0137423276901,689.7866695560515,532.2881679005388,4258.305343204311
90,ewm_ewma14_fin_usd_rub_rate_pastcov_lag-1,1022.4079178497195,225.8388307094574,376.756986618042,569.9327735900879,389.3587976694107,384.07777520874515,739.2015280723572,529.6535156739743,4237.2281253917945
91,dist_to_nearest_contested_km_pastcov_lag-1,183.1645209789276,803.5158407352865,552.6448287963867,251.425705909729,491.9487018585205,1072.8396657705307,345.5570607185364,528.7280463954168,4229.824371163334
92,env_weather_wind_speed_10m_max_futcov_lag-2,506.2834579348564,356.08173102745786,902.5957508087158,466.6244133710861,454.6738576889038,432.3670778780943,518.6151606142521,519.6059213319095,4156.847370655276
93,env_weather_pressure_msl_mean_futcov_lag3,968.598132321611,1105.145623922348,226.78434432670474,388.7497685458511,291.9420112967491,354.3026056289673,292.8666927041486,518.3413112494828,4146.730489995863
94,ewm_expdecay7_act_confirmed_launched_pastcov_lag-1,2259.848439529538,165.63342977315187,135.95181932859123,241.41567409038544,484.3992395401001,202.1756427664077,103.53320741653442,513.2796360635299,4106.237088508239
